Position,Song Title,Artist
1,All I Want For Christmas Is You,Mariah Carey
2,Rockin' Around The Christmas Tree,Brenda Lee
3,Last Christmas,Wham!
4,Jingle Bell Rock,Bobby Helms
5,Santa Tell Me,Ariana Grande
6,A Holly Jolly Christmas,Burl Ives
7,It's The Most Wonderful Time Of The Year,Andy Williams
8,Let It Snow! Let It Snow! Let It Snow!,Dean Martin
9,Underneath The Tree,Kelly Clarkson
10,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole"
11,Feliz Navidad,Jose Feliciano
12,It's Beginning To Look A Lot Like Christmas,Michael Buble
13,Sleigh Ride,The Ronettes
14,Run Rudolph Run,Chuck Berry
15,Christmas (Baby Please Come Home),Darlene Love
16,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra
17,Die With A Smile,Lady Gaga & Bruno Mars
18,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins
19,White Christmas (1947),Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra
20,Deck The Halls,Nat King Cole
21,Blue Christmas,Elvis Presley
22,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra
23,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry
24,A Bar Song (Tipsy),Shaboozey
25,Little Saint Nick,The Beach Boys
26,Wonderful Christmastime,Paul McCartney
27,Luther,Kendrick Lamar & SZA
28,Birds Of A Feather,Billie Eilish
29,Please Come Home For Christmas,Eagles
30,Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores
31,Christmastime Is Here,Vince Guaraldi Trio
32,TV Off,Kendrick Lamar Featuring Lefty Gunplay
33,That's So True,Gracie Abrams
34,APT.,ROSE & Bruno Mars
35,This Christmas,Donny Hathaway
36,Baby It's Cold Outside,Dean Martin
37,Holly Jolly Christmas,Michael Buble
38,Merry Christmas,Ed Sheeran & Elton John
39,Like It's Christmas,Jonas Brothers
40,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft
41,Taste,Sabrina Carpenter
42,Mistletoe,Justin Bieber
43,Snowman,Sia
44,Squabble Up,Kendrick Lamar
45,30 For 30,SZA With Kendrick Lamar
46,Espresso,Sabrina Carpenter
47,I Had Some Help,Post Malone Featuring Morgan Wallen
48,Winter Wonderland,Darlene Love
49,Happy Holiday / The Holiday Season,Andy Williams
50,You Make It Feel Like Christmas,Gwen Stefani Featuring Blake Shelton
51,Timeless,The Weeknd & Playboi Carti
52,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne"
53,Love Somebody,Morgan Wallen
54,Whatchu Kno About Me,GloRilla & Sexyy Red
55,BMF,SZA
56,Christmas Magic,Laufey
57,High Road,Koe Wetzel & Jessie Murph
58,Sailor Song,Gigi Perez
59,Drive,SZA
60,Bed Chem,Sabrina Carpenter
61,Messy,Lola Young
62,Diamond Boy (DTM),SZA
63,Scorsese Baby Daddy,SZA
64,What Do I Do,SZA
65,Wind Up Missin' You,Tucker Wetmore
66,Like Him,"Tyler, The Creator Featuring Lola Young"
67,Pink Pony Club,Chappell Roan
68,Tu Boda,Oscar Maydon & Fuerza Regida
69,No More Hiding,SZA
70,Crybaby,SZA
71,Kitchen,SZA
72,I Never Lie,Zach Top
73,Another Life,SZA
74,No One Noticed,The Marias
75,Defying Gravity,Cynthia Erivo Featuring Ariana Grande
76,It's Ok I'm Ok,Tate McRae
77,Indigo,Sam Barber Featuring Avery Anna
78,Run Rudolph Run,Mark Ambor
79,Love Me 4 Me,SZA
80,Chill Baby,SZA
81,My Turn,SZA
82,Hey Now,Kendrick Lamar Featuring Dody6
83,Que Pasaria...,Rauw Alejandro & Bad Bunny
84,Liar,Jelly Roll
85,Residuals,Chris Brown
86,Help Me,Real Boston Richey
87,I'm Gonna Love You,Cody Johnson & Carrie Underwood
88,Holiday Road,Kesha
89,Santa Baby,Laufey
90,Wacced Out Murals,Kendrick Lamar
91,Dancing In The Flames,The Weeknd
92,Empty Out Your Pockets,Juice WRLD
93,Heart Of A Woman,Summer Walker
94,4x4xU,Lainey Wilson
95,Good News,Shaboozey
96,Dos Dias,Tito Double P & Peso Pluma
97,25,Rod Wave
98,Popular,Ariana Grande
99,Think I'm In Love With You,Chris Stapleton
100,Peekaboo,Kendrick Lamar Featuring AzChike
