track_name,artist,album,genres,popularity,explicit,cover_url
One Last Breath,Creed,Weathered,"post-grunge, rock, nu metal, alternative metal",80,False,https://i.scdn.co/image/ab67616d0000b273a32f2ae4dade83e0d7a294f4
In the End,Linkin Park,Hybrid Theory (Bonus Edition),"alternative metal, rock, post-grunge, rap metal, nu metal",87,False,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a
Numb,Linkin Park,Meteora,"alternative metal, rock, post-grunge, rap metal, nu metal",86,False,https://i.scdn.co/image/ab67616d0000b2735f1f51d14e8bea89484ecd1b
Everlong,Foo Fighters,The Colour And The Shape,"permanent wave, alternative metal, alternative rock, rock, post-grunge, modern rock",81,False,https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b
How You Remind Me,Nickelback,Silver Side Up,"post-grunge, canadian rock, alternative metal",83,False,https://i.scdn.co/image/ab67616d0000b273699a422d25adc550dc5aa11c
The Middle,Jimmy Eat World,Bleed American,"neon pop punk, pop rock, alternative metal, pop punk, modern power pop, alternative rock, punk, post-grunge, rock, emo, modern rock",80,False,https://i.scdn.co/image/ab67616d0000b27395d1d98c5176e4f982bd73d6
Chop Suey!,System Of A Down,Toxicity,"rap metal, rock, nu metal, alternative metal",83,False,https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578
One Step Closer,Linkin Park,Hybrid Theory (Bonus Edition),"alternative metal, rock, post-grunge, rap metal, nu metal",82,False,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a
Christmas Eve / Sarajevo 12/24 - Instrumental,Trans-Siberian Orchestra,Christmas Eve and Other Stories,"progressive metal, neo classical metal",77,False,https://i.scdn.co/image/ab67616d0000b273d8c41d1f95369e3658c00d28
Animal I Have Become,Three Days Grace,One-X,"canadian metal, alternative metal, rock, post-grunge, canadian rock, nu metal",77,False,https://i.scdn.co/image/ab67616d0000b2739dcf31d6b5eb82fa24de783a
Kryptonite,3 Doors Down,The Better Life,"post-grunge, rock, nu metal, alternative metal",78,False,https://i.scdn.co/image/ab67616d0000b2732868c4713a3912fd476b42f1
Break Stuff,Limp Bizkit,Significant Other,"alternative metal, funk metal, rock, post-grunge, rap metal, nu metal",80,True,https://i.scdn.co/image/ab67616d0000b2733783782de74f61e36795bf9c
Higher,Creed,Human Clay,"post-grunge, rock, nu metal, alternative metal",76,False,https://i.scdn.co/image/ab67616d0000b273f8f048a5f4749c970078a4fb
I Hate Everything About You,Three Days Grace,Three Days Grace,"canadian metal, alternative metal, rock, post-grunge, canadian rock, nu metal",78,False,https://i.scdn.co/image/ab67616d0000b27377922eaa071fb388270f203f
Scar Tissue,Red Hot Chili Peppers,Californication (Deluxe Edition),"permanent wave, funk metal, alternative rock, rock, funk rock",81,False,https://i.scdn.co/image/ab67616d0000b27394d08ab63e57b0cae74e8595
Toxicity,System Of A Down,Toxicity,"rap metal, rock, nu metal, alternative metal",83,False,https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578
Drive,Incubus,Make Yourself,"alternative metal, funk metal, alternative rock, rock, post-grunge, modern rock, nu metal, funk rock",78,False,https://i.scdn.co/image/ab67616d0000b27374fad40214d982351347e46e
Enter Sandman (Remastered),Metallica,Metallica (Remastered),"metal, hard rock, old school thrash, thrash metal, rock",74,False,https://i.scdn.co/image/ab67616d0000b2731f9edf15e43f4c2f4938b869
Faint,Linkin Park,Meteora,"alternative metal, rock, post-grunge, rap metal, nu metal",83,False,https://i.scdn.co/image/ab67616d0000b2735f1f51d14e8bea89484ecd1b
All The Small Things,blink-182,Enema Of The State,"socal pop punk, pop punk, alternative metal, punk, rock, modern rock",80,False,https://i.scdn.co/image/ab67616d0000b2736da502e35a7a3e48de2b0f74
Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),"permanent wave, funk metal, alternative rock, rock, funk rock",81,False,https://i.scdn.co/image/ab67616d0000b273153d79816d853f2694b2cc70
Bring Me To Life,Evanescence,Fallen,alternative metal,83,False,https://i.scdn.co/image/ab67616d0000b27325f49ab23f0ec6332efef432
Paranoid - 2012 - Remaster,Black Sabbath,Paranoid (Remaster),"birmingham metal, hard rock, alternative metal, metal, uk doom metal, rock, classic rock, stoner rock, album rock",73,False,https://i.scdn.co/image/ab67616d0000b273d5fccf9ce08b6a1e7d12a222
Can't Stop,Red Hot Chili Peppers,By the Way (Deluxe Edition),"permanent wave, funk metal, alternative rock, rock, funk rock",81,False,https://i.scdn.co/image/ab67616d0000b273de1af2785a83cc660155a0c4
